guild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: nog nietguild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: .idee tester yoloswag 
guild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: aiighttt 
guild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: eindelijk 
guild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: idee wordt opgeslage in text file hehe 
guild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: kanik die achteraf altijd leze 
guild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: da nice eh 
guild: NEGERS , channel: bot-test-server-tijdelijk, author: ROAM, message: .info 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: test logs 1 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: .info 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: .help 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: .djket 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: .games 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: ```cs games --> help command ``` 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: .help 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: beter 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: beter inline gezet dedju 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: ff aanpassae 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: .help 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: mooi 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: .djket 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: .join 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: .play triple helix 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: .volume 50 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: .now 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: .pause 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: .resume 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: mmm 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: ni volledig zoals gepland 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: .play killy starstream 
guild: ZIx0 , channel: tijdelijk_bot_test_channel, author: ROAM, message: .play mercedes baby tyga 
